col	row	z
21	34	0.344482759
22	34	0.297931034
23	34	0.253448276
24	34	0.211034483
25	34	0.170689655
26	34	0.132413793
27	34	0.096206897
28	34	0.062068966
29	34	0.03
0	35	1.8
1	35	1.71
2	35	1.622068966
3	35	1.536206897
4	35	1.452413793
5	35	1.370689655
6	35	1.291034483
7	35	1.213448276
8	35	1.137931034
9	35	1.064482759
10	35	0.993103448
11	35	0.923793103
12	35	0.856551724
13	35	0.79137931
14	35	0.728275862
15	35	0.667241379
16	35	0.608275862
17	35	0.55137931
18	35	0.496551724
19	35	0.443793103
20	35	0.393103448
21	35	0.344482759
22	35	0.297931034
23	35	0.253448276
24	35	0.211034483
25	35	0.170689655
26	35	0.132413793
27	35	0.096206897
28	35	0.062068966
29	35	0.03
0	36	1.8
1	36	1.71
2	36	1.622068966
3	36	1.536206897
4	36	1.452413793
5	36	1.370689655
6	36	1.291034483
7	36	1.213448276
8	36	1.137931034
9	36	1.064482759
10	36	0.993103448
11	36	0.923793103
12	36	0.856551724
13	36	0.79137931
14	36	0.728275862
15	36	0.667241379
16	36	0.608275862
17	36	0.55137931
18	36	0.496551724
19	36	0.443793103
20	36	0.393103448
21	36	0.344482759
22	36	0.297931034
23	36	0.253448276
24	36	0.211034483
25	36	0.170689655
26	36	0.132413793
27	36	0.096206897
28	36	0.062068966
29	36	0.03
0	37	1.8
1	37	1.71
2	37	1.622068966
3	37	1.536206897
4	37	1.452413793
5	37	1.370689655
6	37	1.291034483
7	37	1.213448276
8	37	1.137931034
9	37	1.064482759
10	37	0.993103448
11	37	0.923793103
12	37	0.856551724
13	37	0.79137931
14	37	0.728275862
15	37	0.667241379
16	37	0.608275862
17	37	0.55137931
18	37	0.496551724
19	37	0.443793103
20	37	0.393103448
21	37	0.344482759
22	37	0.297931034
23	37	0.253448276
24	37	0.211034483
25	37	0.170689655
26	37	0.132413793
27	37	0.096206897
28	37	0.062068966
29	37	0.03
0	38	1.8
1	38	1.71
2	38	1.622068966
3	38	1.536206897
4	38	1.452413793
5	38	1.370689655
6	38	1.291034483
7	38	1.213448276
8	38	1.137931034
9	38	1.064482759
10	38	0.993103448
11	38	0.923793103
12	38	0.856551724
13	38	0.79137931
14	38	0.728275862
15	38	0.667241379
16	38	0.608275862
17	38	0.55137931
18	38	0.496551724
19	38	0.443793103
20	38	0.393103448
21	38	0.344482759
22	38	0.297931034
23	38	0.253448276
24	38	0.211034483
25	38	0.170689655
26	38	0.132413793
27	38	0.096206897
28	38	0.062068966
29	38	0.03
0	39	1.8
1	39	1.71
2	39	1.622068966
3	39	1.536206897
4	39	1.452413793
5	39	1.370689655
6	39	1.291034483
7	39	1.213448276
8	39	1.137931034
9	39	1.064482759
10	39	0.993103448
11	39	0.923793103
12	39	0.856551724
13	39	0.79137931
14	39	0.728275862
15	39	0.667241379
16	39	0.608275862
17	39	0.55137931
18	39	0.496551724
19	39	0.443793103
20	39	0.393103448
21	39	0.344482759
22	39	0.297931034
23	39	0.253448276
24	39	0.211034483
25	39	0.170689655
26	39	0.132413793
27	39	0.096206897
28	39	0.062068966
29	39	0.03
0	40	1.8
1	40	1.71
2	40	1.622068966
3	40	1.536206897
4	40	1.452413793
5	40	1.370689655
6	40	1.291034483
7	40	1.213448276
8	40	1.137931034
9	40	1.064482759
10	40	0.993103448
11	40	0.923793103
12	40	0.856551724
13	40	0.79137931
14	40	0.728275862
15	40	0.667241379
16	40	0.608275862
17	40	0.55137931
18	40	0.496551724
19	40	0.443793103
20	40	0.393103448
21	40	0.344482759
22	40	0.297931034
23	40	0.253448276
24	40	0.211034483
25	40	0.170689655
26	40	0.132413793
27	40	0.096206897
28	40	0.062068966
29	40	0.03
0	41	1.8
1	41	1.71
2	41	1.622068966
3	41	1.536206897
4	41	1.452413793
5	41	1.370689655
6	41	1.291034483
7	41	1.213448276
8	41	1.137931034
9	41	1.064482759
10	41	0.993103448
11	41	0.923793103
12	41	0.856551724
13	41	0.79137931
14	41	0.728275862
15	41	0.667241379
16	41	0.608275862
17	41	0.55137931
18	41	0.496551724
19	41	0.443793103
20	41	0.393103448
21	41	0.344482759
22	41	0.297931034
23	41	0.253448276
24	41	0.211034483
25	41	0.170689655
26	41	0.132413793
27	41	0.096206897
28	41	0.062068966
29	41	0.03
0	42	1.8
1	42	1.71
2	42	1.622068966
3	42	1.536206897
4	42	1.452413793
5	42	1.370689655
6	42	1.291034483
7	42	1.213448276
8	42	1.137931034
9	42	1.064482759
10	42	0.993103448
11	42	0.923793103
12	42	0.856551724
13	42	0.79137931
14	42	0.728275862
15	42	0.667241379
16	42	0.608275862
17	42	0.55137931
18	42	0.496551724
19	42	0.443793103
20	42	0.393103448
21	42	0.344482759
22	42	0.297931034
23	42	0.253448276
24	42	0.211034483
25	42	0.170689655
26	42	0.132413793
27	42	0.096206897
28	42	0.062068966
29	42	0.03
0	43	1.8
1	43	1.71
2	43	1.622068966
3	43	1.536206897
4	43	1.452413793
5	43	1.370689655
6	43	1.291034483
7	43	1.213448276
8	43	1.137931034
9	43	1.064482759
10	43	0.993103448
11	43	0.923793103
12	43	0.856551724
13	43	0.79137931
14	43	0.728275862
15	43	0.667241379
16	43	0.608275862
17	43	0.55137931
18	43	0.496551724
19	43	0.443793103
20	43	0.393103448
21	43	0.344482759
22	43	0.297931034
23	43	0.253448276
24	43	0.211034483
25	43	0.170689655
26	43	0.132413793
27	43	0.096206897
28	43	0.062068966
29	43	0.03
0	44	1.8
1	44	1.71
2	44	1.622068966
3	44	1.536206897
4	44	1.452413793
5	44	1.370689655
6	44	1.291034483
7	44	1.213448276
8	44	1.137931034
9	44	1.064482759
10	44	0.993103448
11	44	0.923793103
12	44	0.856551724
13	44	0.79137931
14	44	0.728275862
15	44	0.667241379
16	44	0.608275862
17	44	0.55137931
18	44	0.496551724
19	44	0.443793103
20	44	0.393103448
21	44	0.344482759
22	44	0.297931034
23	44	0.253448276
24	44	0.211034483
25	44	0.170689655
26	44	0.132413793
27	44	0.096206897
28	44	0.062068966
29	44	0.03
0	45	1.8
1	45	1.71
2	45	1.622068966
3	45	1.536206897
4	45	1.452413793
5	45	1.370689655
6	45	1.291034483
7	45	1.213448276
8	45	1.137931034
9	45	1.064482759
10	45	0.993103448
11	45	0.923793103
12	45	0.856551724
13	45	0.79137931
14	45	0.728275862
15	45	0.667241379
16	45	0.608275862
17	45	0.55137931
18	45	0.496551724
19	45	0.443793103
20	45	0.393103448
21	45	0.344482759
22	45	0.297931034
23	45	0.253448276
24	45	0.211034483
25	45	0.170689655
26	45	0.132413793
27	45	0.096206897
28	45	0.062068966
29	45	0.03
0	46	1.8
1	46	1.71
2	46	1.622068966
3	46	1.536206897
4	46	1.452413793
5	46	1.370689655
6	46	1.291034483
7	46	1.213448276
8	46	1.137931034
9	46	1.064482759
10	46	0.993103448
11	46	0.923793103
12	46	0.856551724
13	46	0.79137931
14	46	0.728275862
15	46	0.667241379
16	46	0.608275862
17	46	0.55137931
18	46	0.496551724
19	46	0.443793103
20	46	0.393103448
21	46	0.344482759
22	46	0.297931034
23	46	0.253448276
24	46	0.211034483
25	46	0.170689655
